"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NPPA",1.20718033635502e-72,3.29469621377354,0.934,0.508,3.21435908161252e-68
"MYL7",6.14166509468427e-57,3.06523348668848,0.767,0.211,1.63534116476158e-52
"TTN",7.53072186123397e-51,2.73688650093777,0.86,0.478,2.00520530999077e-46
"MT-CO1",1.67752170347297e-44,0.943203520171644,0.996,0.956,4.46673703983749e-40
"XIST",1.17051180851124e-41,3.6713452705679,0.424,0,3.11672179252287e-37
"ACTC1",9.47546802760366e-41,2.83061236508791,0.588,0.117,2.52303287171003e-36
"MYH6",3.50009889921522e-38,2.56185559085315,0.588,0.133,9.31971333894036e-34
"MB",1.65967522336643e-37,2.60099273008421,0.545,0.094,4.41921721725778e-33
"MT-CO3",4.6699272634742e-32,0.832956319096577,0.988,0.95,1.24346153244528e-27
"MT-CO2",1.87119808067804e-31,0.877906444221076,0.988,0.925,4.9824391294214e-27
"TNNT2",1.1271281911613e-27,2.25365910778546,0.486,0.114,3.00120423460519e-23
"MALAT1",1.25822888412333e-27,-0.541987946163401,1,0.989,3.3502860497552e-23
"TNNI3",8.48833422226388e-27,2.20910162292585,0.479,0.114,2.2601887533622e-22
"NPPB",8.91387157103334e-27,2.39486536739733,0.412,0.069,2.37349658321905e-22
"RPLP1",2.01246141075116e-24,1.44002629266737,0.685,0.325,5.3585809984071e-20
"MT-ND4",1.99201092758243e-21,0.745007146413482,0.988,0.897,5.30412749687373e-17
"TCAP",8.02972221452603e-21,2.38382469537371,0.374,0.081,2.13807413406185e-16
"MT-ND3",8.14508295312762e-20,0.660717278645081,0.981,0.939,2.16879123792929e-15
"COX6A2",1.53202078581921e-19,2.23817921989171,0.272,0.028,4.07931174640081e-15
"ANKRD1",1.06491116563132e-18,2.06725889094281,0.3,0.047,2.83553896072653e-14
"UQCRB",1.5659939495549e-17,1.8327473284643,0.432,0.158,4.16977208947984e-13
"MT-ATP6",2.36035836769367e-17,0.553151302326903,1,0.981,6.28492622565794e-13
"TNNC1",4.51907155957093e-16,1.81390768600253,0.292,0.058,1.20329318416695e-11
"RPL13A",8.69814932474645e-16,1.40657326345773,0.514,0.253,2.31605622070024e-11
