"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CD3E",0,2.32683044527127,0.682,0.133,0
"CXCR4",1.97951836127368e-148,-1.24307555288506,0.387,0.74,5.27086354056344e-144
"XIST",9.38146523186122e-121,1.17497395101137,0.254,0,2.49800274728769e-116
"SH2D1B",4.08351971084185e-117,-0.674489074792863,0.28,0.637,1.08731879340586e-112
"RPS4Y1",3.40846685921933e-110,-0.580968462858821,0.397,0.801,9.0757247060433e-106
"IL32",3.16452885946397e-102,1.05404514391152,0.75,0.584,8.42619099409471e-98
"FKBP5",2.11496592755274e-94,-0.714716346456314,0.114,0.354,5.63151977529468e-90
"TSC22D3",2.76561136602985e-94,-0.831000590733467,0.712,0.875,7.36399338432768e-90
"RPS4X",1.26264428741221e-88,0.441581332566783,0.99,0.963,3.3620429440925e-84
"DDX3Y",1.37506193414607e-77,-0.522500757533411,0.114,0.343,3.66137741205074e-73
"RPL13",8.36569184268895e-74,0.338069325745242,0.996,0.98,2.22753276695279e-69
"BTG1",3.77085580944781e-71,-0.470892018011945,0.907,0.977,1.00406577638167e-66
"ETS1",1.82967485686537e-70,-0.542306287037718,0.624,0.85,4.87187524137542e-66
"GZMA",1.08545372516199e-65,0.448077489329207,0.964,0.944,2.89023763398882e-61
"MT-ND4L",1.84593411013497e-65,-0.511288178947112,0.858,0.945,4.91516875505639e-61
"USP9Y",2.55667950716053e-64,-0.458250056185646,0.058,0.22,6.80767052371635e-60
"CYTIP",2.58663209394876e-64,-0.607093919265761,0.626,0.817,6.88742527655735e-60
"MT-ATP8",5.23500922030042e-63,-0.672582199744986,0.699,0.837,1.39392590508939e-58
"PARP8",1.76288541144624e-60,-0.536592842922,0.366,0.628,4.69403498505791e-56
"S100B",5.736631553282e-60,1.61246258341613,0.173,0.02,1.5274928836924e-55
"AK5",9.11694031494214e-59,-0.284613388980081,0.01,0.104,2.42756769765964e-54
"KLRC1",5.30396371105178e-58,-0.867389096087018,0.136,0.316,1.41228641734176e-53
"MYOM2",5.28471182865073e-57,1.66514386712042,0.314,0.141,1.40716021861483e-52
"PRKY",8.64534161303568e-57,-0.382634054447223,0.049,0.19,2.30199511130301e-52
"TMSB4X",2.48635165639749e-55,0.251225472789027,0.999,0.988,6.62040855548958e-51
"AL627171.2",9.63996099430798e-55,-0.503334503389479,0.126,0.31,2.56683241395439e-50
"UTY",4.08461571997055e-51,-0.323787662961354,0.073,0.227,1.08761062775656e-46
"GPATCH8",4.57502895261873e-51,-0.459384269277057,0.221,0.435,1.21819295921379e-46
"LAIR1",1.45418284741263e-50,0.694642898635945,0.364,0.188,3.87205266780562e-46
"RPS29",6.77037568110108e-50,-0.385480926140914,0.955,0.956,1.80274793260678e-45
"GFOD1",1.27196090840485e-49,-0.388102993336562,0.166,0.364,3.3868503108096e-45
"HLA-B",2.59594654335867e-49,0.32806858433282,0.999,0.993,6.91222686100113e-45
"HLA-C",3.33129378267304e-49,0.323507938260578,0.999,0.993,8.87023595512352e-45
"PRDM1",3.45381262727151e-48,-0.49879909502369,0.375,0.595,9.19646688263585e-44
"RPS19",4.39151033006251e-47,0.276184257297167,0.995,0.982,1.16932745558574e-42
"GLUL",9.01240808824972e-47,-0.480794024886538,0.203,0.4,2.39973390165825e-42
"IKZF1",1.08068059722708e-46,-0.480410168529625,0.495,0.702,2.87752822623654e-42
"RPL41",1.90607548102788e-46,-0.350269368266964,0.943,0.964,5.07530718333295e-42
"LY6E",9.91331021212646e-46,-0.496561576484298,0.551,0.751,2.63961711018291e-41
"RPS2",1.06346388568716e-45,0.28481000634589,0.992,0.98,2.83168528841921e-41
"CD3D",2.38768716310802e-45,1.04384016301589,0.229,0.076,6.35769460920773e-41
"S100A11",4.26529666853618e-45,0.547076847868261,0.773,0.718,1.13572054393113e-40
"KLRD1",5.64291222151645e-45,-0.339604398031149,0.925,0.969,1.50253823722319e-40
"AKAP13",7.53802314664788e-45,-0.437694589994331,0.566,0.773,2.00714942325793e-40
"PIK3IP1",3.64761524706696e-44,-0.399811611534074,0.173,0.359,9.7125051183652e-40
"IGKC",1.04517539579069e-42,0.736920025881899,0.204,0.069,2.78298852637187e-38
"TRDV2",1.64876628863187e-42,1.67729732656355,0.118,0.011,4.39016999674007e-38
"DDIT4",3.02494101903525e-42,-0.534598386834583,0.718,0.836,8.05451045138517e-38
"GZMM",5.53150378570428e-42,0.419439589821523,0.852,0.81,1.47287351301948e-37
"GOLGA8B",9.75213298620451e-42,-0.327994487888384,0.132,0.299,2.59670045023667e-37
"SOCS1",5.51115556248927e-41,-0.506506501290375,0.255,0.447,1.46745539162402e-36
"BIN1",7.57304280725942e-41,-0.387891695127342,0.249,0.449,2.01647410828896e-36
"PFN1",2.21472657308316e-40,0.364293489572399,0.992,0.987,5.89715244614852e-36
"RPL13A",1.05406978619872e-39,0.295746794390329,0.984,0.961,2.80667161971134e-35
"SYTL3",1.28607315805159e-39,-0.500861684036859,0.462,0.668,3.42442699794396e-35
"FCGR2B",1.61674944409779e-39,-0.281051821583023,0.027,0.117,4.30491874479919e-35
"EIF1AY",1.75293013931323e-39,-0.245365563071552,0.056,0.174,4.66752708194934e-35
"KLRK1",2.72390919004395e-39,0.42640084287849,0.808,0.765,7.25295300033002e-35
"MALAT1",4.74852180780066e-39,-0.320588837407161,0.999,1,1.26438890176308e-34
"ANKRD28",6.3398772674638e-39,-0.312791722616139,0.097,0.238,1.68811912000759e-34
"AOAH",6.79021152400624e-39,-0.415490420117238,0.511,0.733,1.80802962249714e-34
"ERAP2",2.92061388587264e-38,-0.326756145871969,0.16,0.332,7.77671859391309e-34
"VPS37B",1.01344601987299e-37,-0.702730442133506,0.384,0.566,2.69850271711582e-33
"IVNS1ABP",1.33504180710593e-37,0.579821599213659,0.557,0.463,3.55481581978096e-33
