"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PLAUR",1.12318313597521e-113,-1.71198865972966,0.775,0.974,2.99069973616119e-109
"IL1B",5.12247735950731e-101,-2.1916007331037,0.654,0.92,1.36396204651601e-96
"SRGN",8.11981182234294e-96,-1.10747346602256,0.992,0.992,2.16206229393526e-91
"CXCL8",4.42545671286448e-87,-1.5985492721922,0.755,0.952,1.17836635893443e-82
"BCL2A1",8.94798243420834e-83,-1.53239693421349,0.814,0.949,2.38257928275665e-78
"FOS",4.63947948328989e-72,1.15780832041545,0.996,0.924,1.2353542020156e-67
"FTH1",2.16008010409854e-61,-0.692388258728249,1,0.997,5.75164529318318e-57
"SAT1",6.41324160084178e-60,-1.15268844764207,0.963,0.995,1.70765384105614e-55
"HLA-C",8.07561725590562e-56,0.896291757478442,0.988,0.961,2.15029460672999e-51
"NFKBIA",9.25507312471766e-52,-0.966927361424234,0.769,0.942,2.46434832091857e-47
"TNFAIP3",1.32575678798422e-48,-1.51346406044043,0.393,0.706,3.53009259936558e-44
"PRKDC",3.63520338635904e-48,-2.06540534364861,0.202,0.549,9.67945605685821e-44
"ACTG1",9.49653551783739e-48,-1.12014706203106,0.759,0.915,2.52864251233456e-43
"IER2",2.2219829068125e-45,1.06746758872106,0.91,0.723,5.91647388596965e-41
"C5AR1",3.3838554508708e-45,-1.26022404372764,0.528,0.802,9.01019190903369e-41
"SYAP1",6.38429518090357e-43,-1.52437726375474,0.282,0.62,1.69994627781919e-38
"NR4A3",2.14793571365729e-42,-2.00973719580016,0.133,0.466,5.71930842475527e-38
"KLF2",4.47485699810414e-42,1.37725978961466,0.501,0.187,1.19152017288519e-37
"RUBCNL",5.02579032529363e-42,-1.58142621669472,0.233,0.571,1.33821718991593e-37
"NFE2L2",8.5340236527415e-38,-1.36323257026066,0.352,0.641,2.27235447801548e-33
"IVNS1ABP",4.6583597395498e-37,-1.09244537624883,0.571,0.801,1.24038144784993e-32
"ACTB",3.97950068516296e-36,-0.603046234853646,0.99,0.993,1.05962164743834e-31
"ELL2",5.66177960443332e-35,-1.87922197827257,0.088,0.375,1.50756205527246e-30
"RILPL2",1.12892663441411e-34,-1.58844028825666,0.217,0.515,3.00599294945444e-30
"SOD2",1.57293854906285e-32,-0.683143138304939,0.933,0.974,4.18826347458965e-28
"TPM4",3.26112011054666e-32,-1.46630275253802,0.317,0.566,8.68338451835259e-28
"PDE4B",2.30205001285953e-31,-1.39369622833216,0.268,0.55,6.12966856924106e-27
"RPS27A",2.58483564916436e-31,1.12814395415793,0.536,0.258,6.88264188302993e-27
"KDM6B",5.11559676783759e-31,-1.11208636971677,0.44,0.689,1.36212995137211e-26
"HCAR2",7.3353628841733e-31,1.28643367839198,0.429,0.167,1.95318707516883e-26
"H3F3B",2.46186530619921e-30,-0.621432764115593,0.971,0.981,6.55520875081663e-26
"PPIF",2.91490862125265e-30,-1.86660936729018,0.184,0.454,7.76152718580944e-26
"CSRNP1",5.55340238533405e-30,-1.53018839008683,0.176,0.449,1.4787044531429e-25
"TAGAP",1.17210173347726e-29,-1.46989450955379,0.327,0.563,3.1209552857299e-25
"TREM1",1.21736649803442e-29,-1.08669743164312,0.487,0.71,3.24148177431625e-25
"RPS24",1.58312195707009e-29,1.22618583146441,0.389,0.144,4.21537883509052e-25
"GPR65",5.37792939654528e-29,-1.38683386774539,0.282,0.541,1.43198126041811e-24
"TMSB4X",9.91092461333116e-29,0.523866238391652,0.984,0.952,2.63898189679169e-24
"VPS37B",1.04864145010683e-28,-1.29793517117011,0.311,0.557,2.79221758919945e-24
"RPS3A",1.67608292054789e-27,1.33493136962955,0.411,0.178,4.46290599254285e-23
"ETF1",3.74491278851194e-27,-1.44420320595194,0.143,0.398,9.97157928197075e-23
"RPL27A",5.52975499232995e-27,1.20840224364142,0.295,0.095,1.47240786180769e-22
"BEST1",1.08051000561687e-26,-1.16327916265449,0.337,0.591,2.87707399195603e-22
"G0S2",2.96184318188907e-26,-0.536714855699456,0.896,0.983,7.88649984041602e-22
"SELENOK",7.92742813549823e-26,-1.28740738370405,0.368,0.586,2.11083628963911e-21
"MSRB1",1.35290823691335e-24,1.04063987587171,0.368,0.146,3.60238876242916e-20
"TPT1",1.45671421333557e-24,-0.508924580866098,0.945,0.97,3.87879293584863e-20
"SPAG9",2.1027332498859e-24,-1.29543720035319,0.25,0.498,5.5989478244712e-20
"CLEC12A",2.88206334634058e-24,0.930745397888897,0.125,0.012,7.67407007230107e-20
"CREM",4.18903816796619e-24,-1.95577866951506,0.127,0.344,1.11541519298436e-19
"IL1R2",5.54651333049106e-24,-1.40665319916415,0.188,0.421,1.47687010450986e-19
"RPS14",7.27826805174084e-24,1.20933567892374,0.448,0.218,1.93798443413703e-19
"RPS18",1.34851205532647e-23,1.43623215490504,0.329,0.129,3.59068304971779e-19
"SAMSN1",6.43520020269793e-23,-1.63227946133592,0.19,0.409,1.71350075797238e-18
"RPS3",4.73572142437249e-22,1.1849175626447,0.411,0.197,1.26098054366766e-17
"PPP1R15A",9.55844781516289e-22,-0.741091062323728,0.64,0.797,2.54512789974342e-17
"RPL30",1.64199485668339e-21,0.869862110366752,0.626,0.419,4.37213970489087e-17
"RPL10",2.861964764788e-21,1.19733799952376,0.411,0.198,7.62055357920101e-17
"BCL3",4.28181825604182e-21,-0.910618168796965,0.292,0.529,1.14011974703625e-16
"DNAJA1",7.42311870445741e-21,-1.00708409267699,0.407,0.604,1.97655381743587e-16
"LYZ",8.06983059019783e-21,1.30856624384386,0.311,0.124,2.14875379125198e-16
"RPL32",9.23052299764049e-21,1.0453117899592,0.444,0.229,2.45781135858173e-16
"RPS15A",1.34767161656871e-20,1.0931082024637,0.421,0.21,3.58844521343749e-16
"PLAU",1.43287986920394e-20,-1.85893689856327,0.004,0.16,3.81532922772932e-16
"FRAT2",2.1287533220448e-20,1.04580246915161,0.217,0.064,5.6682314706087e-16
"EHD1",2.28702044068833e-20,-1.28379845797656,0.172,0.384,6.08964932742081e-16
"RPS15",2.64851448469954e-20,1.05820299753917,0.407,0.204,7.05219951840947e-16
"HSPA1A",3.69421077860496e-20,1.80423764771637,0.337,0.149,9.83657504019144e-16
"RPL26",3.77642907971716e-20,1.19886757115827,0.36,0.167,1.00554977105629e-15
"HCG18",4.25852799452484e-20,-1.5598861258153,0.076,0.268,1.13391824910213e-15
"CHD1",5.97213028824806e-20,-1.16691363391316,0.297,0.499,1.59019913185181e-15
"BASP1",7.98854602723353e-20,-0.880724547202579,0.577,0.74,2.12711015067147e-15
"RPS12",1.32463545670516e-19,1.14371534244531,0.378,0.176,3.52710683056884e-15
"AQP9",1.5621262181655e-19,-0.969583240777582,0.411,0.602,4.15947348110928e-15
"RPL15",1.60226973654374e-19,0.978354522827627,0.303,0.122,4.26636362749501e-15
"RPL10A",3.16394838078663e-19,1.09733158345178,0.247,0.088,8.42464535352055e-15
"RPS23",3.61773063133718e-19,1.09905389749405,0.346,0.156,9.6329313520615e-15
"CD55",5.7972115261977e-19,-0.778076975493008,0.487,0.677,1.54362351308066e-14
"TNFAIP6",6.16270424278161e-19,-1.13601666934252,0.198,0.419,1.64094325872546e-14
"RPS2",8.07973823208754e-19,1.01439033448982,0.382,0.183,2.15139189905795e-14
"IGKC",8.89890952717217e-19,0.835876616497143,0.127,0.021,2.36951263980013e-14
"RPL18",9.72451131310381e-19,1.17917864670592,0.319,0.142,2.58934562734015e-14
"RPL37A",2.22357572022016e-18,0.961240114250784,0.295,0.123,5.92071507023023e-14
"TP53INP2",4.4458361105467e-18,-1.24812893347704,0.078,0.264,1.18379278115527e-13
"PNPLA8",4.50327512078793e-18,-1.31154317214504,0.123,0.314,1.1990870664122e-13
"RPL3",4.58313446154857e-18,1.12065724123852,0.276,0.111,1.22035121307654e-13
"RPS19",5.27132945475379e-18,1.20227601418287,0.358,0.177,1.40359689391729e-13
"ETS2",5.78484068123273e-18,-1.21652648240519,0.147,0.345,1.54032952819184e-13
"RPL8",5.82347242411685e-18,0.932771727833001,0.362,0.169,1.55061600236959e-13
"JUN",7.10565255953114e-18,1.09988527968225,0.227,0.077,1.89202210702636e-13
"RPS7",8.99591256928066e-18,0.876221793849424,0.372,0.18,2.39534163982236e-13
"RPL29",9.64226421493363e-18,1.03968540719459,0.333,0.157,2.56744569251038e-13
"RPS4X",1.01360623679839e-17,1.06876006636637,0.272,0.106,2.69892932672308e-13
"RABGEF1",1.04445634817559e-17,-1.4565903506493,0.051,0.216,2.78107391828713e-13
"RPL23A",1.24033792396537e-17,1.11021910925173,0.27,0.11,3.3026477901426e-13
"S100A10",1.38302870472607e-17,0.823165581953764,0.231,0.08,3.6825905320741e-13
"NAMPT",2.0615325176126e-17,-0.372357638530238,0.896,0.972,5.48924263464708e-13
"JOSD1",2.7650356318773e-17,-1.05572277349647,0.225,0.421,7.3624603769997e-13
"GZMA",3.66459147777008e-17,1.14157399123213,0.192,0.06,9.75770772785839e-13
"RPL14",3.7952948136989e-17,0.969849582486354,0.335,0.159,1.01057315004361e-12
"HLA-DPA1",4.44102686102833e-17,0.690054596060814,0.184,0.054,1.18251222228601e-12
"RPS25",4.91540296110392e-17,0.86347118778742,0.427,0.232,1.30882434645314e-12
"ZC3H12A",5.11682516417865e-17,-1.33615018719569,0.133,0.315,1.36245703646585e-12
"RPL9",5.19465201304071e-17,0.781213811933836,0.299,0.126,1.38317999151235e-12
"FCER1G",5.86081602414887e-17,0.822551956903175,0.583,0.375,1.56055948275012e-12
"ZFP36L2",8.19969130270985e-17,0.596314405211865,0.368,0.17,2.18333180317255e-12
"CSTB",1.22303818870751e-16,0.909158109112544,0.243,0.092,3.2565837850715e-12
"RPL7A",1.2293788098043e-16,1.08168063253871,0.317,0.147,3.27346695686592e-12
"S1PR4",1.48830058306932e-16,0.843126308846723,0.188,0.058,3.96289796253867e-12
"SLC9A3R1",1.68911011097085e-16,0.777466186992832,0.26,0.102,4.49759349248207e-12
"OXSR1",2.00117460870792e-16,-1.20180147083399,0.143,0.326,5.32852763060658e-12
"HSPA1B",2.0349155850331e-16,1.30994186417648,0.178,0.054,5.41836972826763e-12
"RPL11",2.07703522442689e-16,0.97464095243577,0.38,0.201,5.53052169208147e-12
"S100P",2.44438349527808e-16,-0.859313958091033,0.245,0.46,6.50865993287695e-12
"GIMAP7",3.73985562061855e-16,0.525919947803173,0.125,0.026,9.95811356102102e-12
"RPL35",4.17164738214686e-16,0.950029299978351,0.262,0.109,1.11078454844424e-11
"RPS28",4.60658952630723e-16,0.91104138047288,0.434,0.249,1.22659659316983e-11
"PIM1",6.81427315568792e-16,0.763901943004091,0.121,0.025,1.81443651316502e-11
"HSPA6",7.23654857825479e-16,0.961851695526921,0.184,0.058,1.9268757899319e-11
"MCEMP1",7.80780304136584e-16,-1.29916345727211,0.061,0.22,2.07898371582448e-11
"AC123912.2",8.26808266758314e-16,-1.44737243189978,0.033,0.175,2.20154237189736e-11
"C15orf48",8.7843226134453e-16,-1.91819252250085,0.031,0.172,2.33900158228208e-11
"RPL36A",8.81830933093541e-16,0.799665570978103,0.268,0.11,2.34805122554817e-11
"RPL13",1.31980277252642e-15,1.32205935472898,0.346,0.186,3.51423884240609e-11
"PFDN5",1.45705436019933e-15,0.736286553123133,0.397,0.207,3.87969864490276e-11
"RPS6",1.60070389931568e-15,0.938787220157504,0.342,0.173,4.26219427270785e-11
"C19orf53",1.66693643004861e-15,0.648715766845691,0.129,0.029,4.43855163229042e-11
"RPL31",1.77189641677278e-15,0.750537918219953,0.258,0.106,4.71802858894089e-11
"KATNBL1",2.50172868477493e-15,-1.39835685356881,0.112,0.283,6.6613529689502e-11
"WDR83OS",2.81747554206963e-15,0.759166748248473,0.225,0.084,7.50209212586881e-11
"RPL18A",3.17993507778686e-15,1.03637963958022,0.305,0.146,8.46721313162307e-11
"MCL1",3.29384129912184e-15,-0.581881082452328,0.699,0.81,8.77051122717173e-11
"RPLP2",3.29406479164065e-15,1.05703656452212,0.327,0.165,8.77110632070156e-11
"IRF1",3.4260343542297e-15,0.790502052743095,0.587,0.362,9.12250167500741e-11
"IL32",5.50877082062653e-15,1.54579985742087,0.202,0.076,1.46682040640823e-10
"RPS27",6.64291129164292e-15,0.792307876731076,0.53,0.354,1.76880798962576e-10
"TXNIP",7.01790107701821e-15,0.604880091494539,0.667,0.476,1.86865651977764e-10
"RPS29",7.39674571057008e-15,0.8097133510105,0.341,0.167,1.9695314803535e-10
"NDUFA4",7.75008593474644e-15,0.6382365861507,0.184,0.06,2.06361538184493e-10
"CD3E",9.80017516204033e-15,0.764332746386372,0.166,0.051,2.60949264039648e-10
"RPS8",9.90774320409622e-15,1.02243586447584,0.315,0.156,2.6381347829547e-10
"S100A9",1.14228621864367e-14,0.607480378737574,0.978,0.986,3.04156551438251e-10
"RPLP1",1.59629316957132e-14,0.704338392184254,0.63,0.462,4.25044982261756e-10
"LAT",1.80573985905181e-14,0.419381975414144,0.11,0.022,4.80814352269725e-10
"ATP5MC2",2.6001563497283e-14,0.813385786486826,0.272,0.12,6.92343631242153e-10
"CYTH4",2.89161171453598e-14,0.902446824972786,0.215,0.083,7.69949451229496e-10
"HLA-DPB1",3.17664163009157e-14,0.639192326776793,0.18,0.06,8.45844366844483e-10
