"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IGKC",0,0.784584173299477,0.322,0.086,0
"HSPA1A",0,1.19258329610032,0.626,0.423,0
"FKBP5",0,-0.948285458400218,0.242,0.445,0
"RPS26",0,0.63803626432049,0.917,0.783,0
"RPS4X",0,0.574441567484019,0.965,0.876,0
"XIST",0,1.621121902385,0.406,0,0
"RPS4Y1",0,-1.09928944682521,0.205,0.735,0
"PRKY",0,-0.436653331204683,0.03,0.174,0
"USP9Y",0,-0.687316136323091,0.037,0.244,0
"DDX3Y",0,-0.895424790536698,0.053,0.357,0
"UTY",0,-0.546741009304408,0.03,0.204,0
"KDM5D",0,-0.505885230671308,0.032,0.175,0
"EIF1AY",0,-0.34651026322525,0.035,0.18,0
"FTL",1.3089809941849e-279,0.611727680544207,0.951,0.871,3.48542369321614e-275
"LYZ",3.81348047010788e-265,1.58123426254832,0.389,0.166,1.01541544477563e-260
"MALAT1",8.13011252937918e-257,-0.6825252737851,0.999,1,2.16480506319779e-252
"ZFY",2.2218646146061e-242,-0.24439029276814,0.016,0.103,5.91615890931166e-238
"RPL8",1.78375042167036e-232,0.342148131974632,0.963,0.883,4.74959224778167e-228
"RPL18A",4.00484477962527e-222,0.341706325150094,0.966,0.885,1.06637001947082e-217
"IGHG1",3.42157615386738e-221,0.365610675287775,0.153,0.015,9.11063082490267e-217
"H3F3B",9.08876930726045e-213,0.335655320564105,0.948,0.889,2.42006660344424e-208
"RPS9",1.27215431529876e-209,0.335885160536937,0.955,0.879,3.38736529534602e-205
"H3F3A",1.76641833961116e-208,0.424497704042765,0.914,0.833,4.70344211288265e-204
"TRGV2",5.67713000705356e-207,-0.769024097160558,0.029,0.122,1.51164940697815e-202
"HLA-DQA2",2.78581166423652e-201,0.506758481182493,0.17,0.032,7.41778071836258e-197
"TSC22D3",1.14766244412681e-199,-0.869958787772336,0.752,0.776,3.05588078997647e-195
"ETS1",1.2689852719406e-199,-0.595025276302227,0.54,0.685,3.37892708359624e-195
"RPL15",4.32675733183407e-193,0.342463454906491,0.951,0.866,1.15208567474746e-188
"TYROBP",6.5151931236395e-188,0.757074445295288,0.409,0.21,1.73480047303149e-183
"SH3BGRL3",3.02362090875894e-183,0.380842171276111,0.949,0.867,8.05099539375244e-179
"RPS11",5.87973692973919e-182,0.418858649422237,0.913,0.831,1.56559755228165e-177
"PARP8",1.08772954992822e-181,-0.603355436682036,0.408,0.573,2.89629747259386e-177
"ARPC1B",1.31810501415152e-181,0.433795358860848,0.788,0.68,3.50971822118125e-177
"HSP90AA1",2.42014580181783e-181,0.780842205147524,0.903,0.853,6.44412222650033e-177
"HSPA1B",1.87467122588307e-180,0.567067497500576,0.573,0.418,4.99168707315885e-176
"CCL3",5.51602820105636e-179,0.522868693019157,0.352,0.17,1.46875282909528e-174
"PLEK",2.76796081124765e-165,0.570064708177692,0.542,0.385,7.37024925210911e-161
