"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPL22",0,0.825994652144907,0.899,0.474,0
"PARK7",0,0.547393574264642,0.666,0.304,0
"ENO1",0,0.615437306137248,0.727,0.344,0
"EFHD2",0,0.545637071664514,0.712,0.346,0
"RPL11",0,1.09456780053366,0.93,0.537,0
"SH3BGRL3",0,1.06731907065043,0.881,0.457,0
"RPS8",0,1.17649705253004,0.926,0.489,0
"UQCRH",0,0.663008464457721,0.746,0.351,0
"NFIA",0,-1.76888588949761,0.196,0.466,0
"GNG5",0,0.779043649378858,0.794,0.38,0
"RPL5",0,0.917330100776712,0.901,0.486,0
"C1orf162",0,0.807538887034813,0.748,0.342,0
"S100A11",0,0.990220784128947,0.884,0.474,0
"RPS27",0,0.787974913281082,0.923,0.51,0
"SSR2",0,0.547281880614358,0.694,0.322,0
"MNDA",0,0.894788600954478,0.776,0.37,0
"PEA15",0,0.611919559164392,0.619,0.271,0
"CD48",0,0.705678324382119,0.517,0.163,0
"FCER1G",0,1.24892785405085,0.87,0.438,0
"FCGR3A",0,1.12311647991574,0.619,0.26,0
"IER5",0,0.799006207460495,0.686,0.307,0
"RGS2",0,1.0606043235759,0.664,0.311,0
"H3F3A",0,0.978083639589533,0.898,0.507,0
"RPS7",0,1.15713992020033,0.91,0.491,0
"OST4",0,0.650864584615358,0.776,0.369,0
"RPS27A",0,1.1564308115694,0.927,0.506,0
"TMSB10",0,0.942938500608903,0.932,0.611,0
"CAPG",0,0.704677204390694,0.607,0.269,0
"VAMP8",0,0.612610446186759,0.82,0.42,0
"DUSP2",0,0.969904405057848,0.68,0.279,0
"COX5B",0,0.712866055764994,0.802,0.39,0
"RPL31",0,0.897071402446049,0.889,0.447,0
"PAX8-AS1",0,-2.0251153041334,0.04,0.318,0
"MZT2B",0,0.634851868736883,0.704,0.316,0
"CXCR4",0,0.913654499979937,0.612,0.248,0
"NR4A2",0,0.923955394128692,0.765,0.337,0
"SCN9A",0,-1.90112773153445,0.079,0.32,0
"ATP5MC3",0,0.696863467997047,0.719,0.33,0
"TTN",0,-1.5972695893424,0.174,0.446,0
"CCDC141",0,-2.25050408887561,0.028,0.253,0
"EEF1B2",0,1.10527967623816,0.872,0.421,0
"RPL37A",0,0.760992238304153,0.917,0.505,0
"PTMA",0,0.886979830129696,0.932,0.567,0
"BRK1",0,0.689844181240445,0.714,0.308,0
"RPL32",0,1.09135530003851,0.929,0.504,0
"RPL15",0,1.0365712657305,0.907,0.488,0
"CX3CR1",0,0.901839722827644,0.595,0.22,0
"RPSA",0,0.989987800382755,0.872,0.445,0
"RPL14",0,1.00146445877033,0.909,0.49,0
"TMA7",0,0.585634680476471,0.818,0.415,0
"RHOA",0,0.609588450175224,0.848,0.447,0
"RPL29",0,1.20373197852633,0.916,0.471,0
"TKT",0,0.547425254280669,0.698,0.331,0
"ARL6IP5",0,0.625537576115636,0.769,0.374,0
"RPL24",0,1.02979680160815,0.906,0.478,0
"SERP1",0,0.753787206472229,0.809,0.398,0
"RPL35A",0,0.958633150498913,0.912,0.469,0
"RPL9",0,0.850868279303566,0.91,0.495,0
"H2AFZ",0,0.628538688057328,0.744,0.365,0
"RPL34",0,0.909111012501948,0.932,0.506,0
"RPS3A",0,1.00247966897135,0.916,0.503,0
"RPL37",0,0.857320397874898,0.92,0.509,0
"BTF3",0,0.935077031630069,0.858,0.419,0
"RPS23",0,1.18788499404922,0.932,0.506,0
"COX7C",0,0.811209214131381,0.846,0.416,0
"HINT1",0,0.730643311882374,0.767,0.368,0
"CD74",0,1.21585958582382,0.946,0.735,0
"RPS14",0,1.19850179165989,0.931,0.502,0
"NPM1",0,0.764006373579112,0.841,0.415,0
"DUSP1",0,0.72725014413419,0.88,0.566,0
"ATP6V0E1",0,0.536825984555739,0.758,0.379,0
"HIGD2A",0,0.752139964743107,0.731,0.324,0
"PRELID1",0,0.648413051473695,0.573,0.225,0
"RACK1",0,1.03270199125195,0.897,0.479,0
"LY86",0,0.665018258222075,0.598,0.226,0
"TMEM14C",0,0.559889354092505,0.682,0.321,0
"HLA-A",0,0.838895357209429,0.913,0.647,0
"HLA-C",0,1.11216822028789,0.916,0.656,0
"HLA-B",0,0.974770285423879,0.926,0.717,0
"AIF1",0,1.04420372786086,0.876,0.455,0
"CLIC1",0,0.790795846606369,0.839,0.426,0
"HSPA1A",0,1.13860602667527,0.849,0.448,0
"HSPA1B",0,0.880862523399516,0.777,0.387,0
"GPSM3",0,0.467440188829388,0.671,0.309,0
"HLA-DRA",0,1.19666606640149,0.932,0.627,0
"HLA-DRB5",0,2.34624108271097,0.771,0.418,0
"HLA-DRB1",0,0.842405869795281,0.93,0.61,0
"HLA-DQA1",0,1.07266666271686,0.909,0.53,0
"HLA-DQB1",0,0.861433825726197,0.89,0.545,0
"HLA-DQA2",0,1.63451316380035,0.581,0.193,0
"HLA-DMA",0,0.789438390123501,0.884,0.506,0
"HLA-DPA1",0,1.22337269223776,0.923,0.575,0
"HLA-DPB1",0,1.30425259014575,0.914,0.558,0
"RPS18",0,1.23157913768094,0.929,0.502,0
"RPL10A",0,1.12128780901456,0.888,0.454,0
"TOMM6",0,0.56629198543971,0.684,0.297,0
"CNPY3",0,0.60621482412146,0.719,0.342,0
"HSP90AB1",0,0.638250551549641,0.897,0.475,0
"EEF1A1",0,0.99881372762549,0.954,0.619,0
"SNHG5",0,0.524906591681193,0.69,0.31,0
"PNRC1",0,0.885968595842239,0.903,0.506,0
"CALHM6",0,0.818421820340616,0.596,0.209,0
"RPS12",0,1.22359142193991,0.932,0.498,0
"SGK1",0,0.982851468515999,0.721,0.358,0
"RAB32",0,0.561448787370256,0.597,0.241,0
"PSMB1",0,0.515750456233344,0.649,0.295,0
"ACTB",0,1.29156189569128,0.929,0.606,0
"RAC1",0,0.722718876827488,0.869,0.46,0
"NDUFA4",0,0.770645606609869,0.798,0.384,0
"TOMM7",0,0.607144504903955,0.838,0.415,0
"CPVL",0,0.893955309156073,0.737,0.34,0
"PPIA",0,0.87598640321928,0.882,0.46,0
"CHCHD2",0,0.716577045372272,0.801,0.385,0
"ARPC1B",0,0.727164082075462,0.853,0.481,0
"ATP5MF",0,0.521983043629709,0.705,0.34,0
"LAMTOR4",0,0.54120389884549,0.772,0.389,0
"ARF5",0,0.616886048596433,0.656,0.291,0
"ATP6V1F",0,0.608780056242608,0.657,0.296,0
"MTPN",0,0.517127768888133,0.684,0.314,0
"NDUFB2",0,0.664765971345661,0.746,0.352,0
"RPS20",0,0.88344760938431,0.895,0.453,0
"RPL7",0,0.844166009307803,0.883,0.448,0
"UQCRB",0,0.692191191389258,0.846,0.433,0
"RPL30",0,1.16089298323391,0.927,0.497,0
"COX6C",0,0.588882639944589,0.722,0.349,0
"EIF3E",0,0.54244496356762,0.732,0.35,0
"EIF3H",0,0.640995978800062,0.761,0.356,0
"EEF1D",0,0.720233552459225,0.87,0.469,0
"RPL8",0,1.26057537670921,0.917,0.492,0
"RPS6",0,1.04147612094953,0.916,0.481,0
"ANP32B",0,0.523036926803704,0.705,0.336,0
"SEC61B",0,0.630950133798994,0.689,0.311,0
"RPL35",0,0.940217263797284,0.905,0.479,0
"RPL12",0,0.981105965624462,0.915,0.486,0
"SET",0,0.537075608680674,0.732,0.353,0
"RPL7A",0,1.16194573744391,0.913,0.484,0
"EDF1",0,0.586125526778768,0.759,0.371,0
"RPS24",0,1.08589045508751,0.932,0.547,0
"NDUFB8",0,0.515044624660702,0.641,0.284,0
"RGS10",0,0.826289337633832,0.796,0.362,0
"IFITM2",0,0.699798294424072,0.799,0.412,0
"RPLP2",0,1.11844982788255,0.92,0.482,0
"LSP1",0,0.74254907281562,0.722,0.349,0
"RHOG",0,0.743265221891402,0.725,0.316,0
"TAF10",0,0.638015367789723,0.672,0.286,0
"EIF3F",0,0.670151641816447,0.762,0.366,0
"RPL27A",0,1.06765373521548,0.902,0.472,0
"RPS13",0,1.17046840566453,0.916,0.469,0
"SPI1",0,0.691825497401304,0.807,0.425,0
"SELENOH",0,0.560126409588069,0.677,0.304,0
"FTH1",0,0.907042835288292,0.951,0.666,0
"EEF1G",0,0.981063472614931,0.873,0.435,0
"COX8A",0,0.688677867148634,0.759,0.356,0
"TRMT112",0,0.526925751831932,0.673,0.314,0
"FAU",0,1.0999316400753,0.918,0.49,0
"NEAT1",0,-2.43664380271995,0.923,0.96,0
"MALAT1",0,-1.68032205435369,0.995,0.993,0
"CFL1",0,1.03383756708955,0.883,0.453,0
"DRAP1",0,0.515966808681943,0.688,0.324,0
"POLD4",0,0.432486149418967,0.67,0.309,0
"PPP1CA",0,0.60988594308638,0.652,0.283,0
"GSTP1",0,0.885578877912422,0.835,0.411,0
"LAMTOR1",0,0.544087627191926,0.658,0.285,0
"UCP2",0,0.509665712164078,0.667,0.313,0
"RPS3",0,1.2954527602649,0.91,0.469,0
"CARD16",0,0.638934891233771,0.606,0.243,0
"ATP5MG",0,0.835767285763304,0.845,0.41,0
"RPS25",0,1.01444032727023,0.917,0.485,0
"GAPDH",0,0.972530656671523,0.899,0.476,0
"TPI1",0,0.723819427115748,0.802,0.39,0
"CD69",0,1.32905155009409,0.496,0.113,0
"CLEC2B",0,0.507663369629556,0.662,0.301,0
"CLEC7A",0,0.547816481156039,0.641,0.291,0
"ARHGDIB",0,0.897417222535973,0.844,0.407,0
"LDHB",0,0.64468339337265,0.598,0.24,0
"TUBA1B",0,1.09701164289564,0.865,0.463,0
"TUBA1A",0,0.734859930398502,0.733,0.364,0
"PFDN5",0,0.79015189777151,0.892,0.499,0
"ATP5MC2",0,0.947889018859327,0.865,0.441,0
"HNRNPA1",0,0.732473566850693,0.852,0.448,0
"RPS26",0,1.83868510402446,0.875,0.414,0
"MYL6",0,0.853572012071538,0.899,0.502,0
