"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NPPA",0,3.81673985394758,0.892,0.481,0
"TNNT2",0,2.66765775388846,0.495,0.108,0
"TTN",0,3.54857784763389,0.838,0.391,0
"MYL7",0,3.52318368356007,0.771,0.181,0
"MALAT1",0,-0.590050262270921,1,1,0
"MYH6",0,3.09570568371939,0.591,0.094,0
"ACTC1",0,3.16871087378188,0.604,0.098,0
"TNNI3",0,2.50594089909597,0.455,0.092,0
"MB",0,2.72525557362058,0.485,0.085,0
"XIST",0,3.43489021331738,0.405,0.001,0
"MT-CO1",0,0.887832018810189,1,0.982,0
"NPPB",2.79384108176285e-295,2.53359589749297,0.366,0.049,7.43916064840995e-291
"UQCRB",2.71337318950654e-264,2.03054801518382,0.449,0.105,7.22489879169905e-260
"ANKRD1",4.83012073752975e-259,2.25430236907743,0.313,0.036,1.28611624878205e-254
"TCAP",1.18744968568651e-247,2.34183852059072,0.381,0.076,3.16182227807747e-243
"COX7C",6.90755380672216e-242,1.92578143981791,0.418,0.097,1.83927435211591e-237
"RPLP1",8.3692977568028e-242,2.17194592234227,0.622,0.307,2.22849291370388e-237
"NDUFA4",9.85579811293099e-238,1.97769985480662,0.415,0.097,2.62430336353013e-233
"TPM1",1.63906577414726e-223,1.77866982550233,0.675,0.411,4.36434043682192e-219
"RYR2",6.69207370732425e-219,2.09631094535543,0.238,0.019,1.78189846604923e-214
"NEBL",9.75409363618681e-213,2.15713637717578,0.264,0.031,2.59722251250746e-208
"MYH7",1.11728164753685e-210,2.14368401702419,0.314,0.056,2.97498584289638e-206
"COX4I1",1.86459749889691e-205,1.77966521701956,0.39,0.1,4.96486376031281e-201
"TNNC1",5.68564585750257e-204,2.03666840037666,0.274,0.038,1.51391692247721e-199
"NEAT1",2.49510530387063e-203,-0.805844028560225,0.928,0.993,6.64371689261632e-199
"COX7A1",1.99388656505689e-199,2.040155058532,0.301,0.053,5.30912175677698e-195
"MYL4",1.01666252166815e-196,2.10296748350074,0.281,0.045,2.70706729644578e-192
"ABCA6",2.06395040228604e-193,-1.21859210850427,0.379,0.798,5.49568073616704e-189
"COX6A2",1.91915095778691e-187,2.03117885377775,0.281,0.049,5.1101232552992e-183
"CFH",5.62424876360306e-176,-1.3356402412845,0.355,0.744,1.49756871828459e-171
"TPT1",1.06721675886518e-174,1.77583180434879,0.531,0.265,2.84167806383031e-170
"PLN",1.22572392492545e-174,1.86809669406378,0.232,0.03,3.26373509489901e-170
"DES",1.31324815069972e-172,1.99954880290873,0.283,0.056,3.49678585086814e-168
"RPS14",3.0047200290307e-172,1.8888956171235,0.468,0.198,8.00066802130004e-168
"C1S",7.77386141378419e-169,-1.2970783345816,0.214,0.621,2.06994607864832e-164
"RPS20",3.31874485772329e-159,1.68761792221447,0.376,0.121,8.83682193265981e-155
"C7",1.46016953449832e-158,-1.35528222081566,0.313,0.693,3.88799341950866e-154
"RPL34",5.19997905628869e-155,1.7491503587445,0.434,0.177,1.38459842331799e-150
"ABCA8",1.43463138807286e-154,-0.959660995064666,0.473,0.842,3.8199929970216e-150
"RPL37A",4.20992088180504e-151,1.58431081200017,0.451,0.193,1.12097563319823e-146
"CRYAB",2.42512823708876e-148,1.86057134242532,0.36,0.123,6.45738895689625e-144
"RPS11",3.55927998942617e-143,1.55905125283204,0.422,0.169,9.47729482784506e-139
"COX7B",7.08950723048017e-141,1.43906619926087,0.255,0.053,1.88772309025996e-136
"CFD",9.26808985048869e-141,-1.30765787172089,0.386,0.742,2.46781428448962e-136
"RPS16",1.07967465518707e-139,1.68281582297553,0.387,0.152,2.87484970436661e-135
"RPL21",1.50377735619845e-139,1.64775852644653,0.442,0.202,4.00410796634961e-135
"ATP5F1E",3.09728446547778e-139,1.56987086396082,0.352,0.117,8.24713934622769e-135
"RPL13",9.80379575949316e-139,1.56795930296718,0.549,0.335,2.61045669688024e-134
"MT-CO3",1.48356317889805e-138,0.581677879023833,0.999,0.984,3.95028367645184e-134
"GAPDH",2.50612271082344e-138,2.03917652521136,0.372,0.14,6.67305294210956e-134
"RPLP2",2.88582844391781e-138,1.80125841786835,0.382,0.149,7.68409539761996e-134
"RPS27A",9.60287039659625e-137,1.8016211323069,0.417,0.182,2.55695630050168e-132
"RPS23",6.59286064277768e-135,1.73622774466743,0.438,0.204,1.75548100335241e-130
"RPL13A",8.49847363779571e-135,1.55186978408261,0.461,0.226,2.26288857553586e-130
"ABCA10",1.49153235383398e-134,-1.18568491758753,0.186,0.553,3.97150319855375e-130
