"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPL22",0,0.924172814370138,0.97,0.926,0
"EFHD2",0,-2.55042233242964,0.287,0.917,0
"RPL11",0,1.13150917209273,0.986,0.988,0
"SH3BGRL3",0,-1.10260051466452,0.901,0.968,0
"CD52",0,1.16786226509494,0.968,0.677,0
"LCK",0,-1.56941182299739,0.143,0.635,0
"RPS8",0,1.47734078810183,0.99,0.987,0
"PDE4B",0,1.78622932317381,0.649,0.105,0
"RPL5",0,0.82460432534369,0.97,0.963,0
"RHOC",0,-1.56018579838553,0.108,0.606,0
"S100A11",0,-1.56307040998169,0.294,0.754,0
"S100A6",0,-1.29016428859895,0.568,0.857,0
"S100A4",0,-2.13530521978952,0.477,0.94,0
"SH2D2A",0,-1.63710998374261,0.048,0.522,0
"FCRL1",0,1.43554449442856,0.438,0.001,0
"PYHIN1",0,-2.02451049654271,0.098,0.718,0
"FCRL6",0,-1.5472445350474,0.043,0.518,0
"FCER1G",0,-2.46599923558607,0.097,0.574,0
"FCGR3A",0,-3.24424183370987,0.08,0.858,0
"FCRLA",0,1.57822813593318,0.507,0,0
"CD247",0,-3.37591919833262,0.087,0.943,0
"XCL2",0,-2.29399392661922,0.045,0.507,0
"SELL",0,1.35157261281971,0.703,0.158,0
"RALGPS2",0,2.65723521306572,0.844,0.035,0
"C1orf21",0,-1.43296530456671,0.036,0.491,0
"PTPRC",0,-1.0223606212383,0.923,0.985,0
"CD55",0,1.61574779134905,0.835,0.385,0
"RPS7",0,0.715367015748371,0.981,0.984,0
"ID2",0,-2.30172433930821,0.101,0.735,0
"RPS27A",0,0.619657645201378,0.986,0.989,0
"BCL11A",0,1.11516196623944,0.352,0.001,0
"PLEK",0,-1.65845868457442,0.374,0.831,0
"CAPG",0,1.02013549433304,0.443,0.061,0
"GNLY",0,-5.16967896712246,0.061,0.847,0
"ZAP70",0,-1.82638643573387,0.061,0.614,0
"AFF3",0,2.09272149126907,0.655,0.008,0
"CXCR4",0,1.8224321583612,0.969,0.508,0
"COBLL1",0,1.18720469635363,0.363,0.001,0
"EEF1B2",0,1.19219939662382,0.967,0.898,0
"ARPC2",0,-1.04791085580826,0.798,0.945,0
"ARL4C",0,-2.24951835867445,0.282,0.882,0
"RPL32",0,1.16333487765231,0.985,0.987,0
"CMC1",0,-1.90560024568129,0.141,0.625,0
"CX3CR1",0,-2.25644659149135,0.062,0.694,0
"RPSA",0,0.904626390824677,0.978,0.963,0
"RPL29",0,0.933783216431292,0.979,0.981,0
"RPL35A",0,0.722915075882624,0.981,0.975,0
"SPON2",0,-2.83721773114506,0.034,0.707,0
"FGFBP2",0,-3.58749200479098,0.047,0.838,0
"RPL9",0,0.793711519925626,0.965,0.94,0
"TXK",0,-1.61761447621246,0.015,0.508,0
"HOPX",0,-2.36869042902478,0.123,0.809,0
"JCHAIN",0,1.51494217169269,0.309,0.011,0
"ARHGAP24",0,1.1491892097262,0.357,0.002,0
"DAPP1",0,1.01632924493488,0.351,0.016,0
"BANK1",0,2.66155176418352,0.832,0.004,0
"RPL34",0,0.906535345040888,0.986,0.984,0
"TMEM154",0,1.04519951334729,0.374,0.029,0
"MARCH1",0,1.31755815342499,0.443,0.008,0
"BASP1",0,1.39352721645959,0.453,0.006,0
"FYB1",0,-1.65197379806615,0.132,0.681,0
"RPL37",0,0.647552006561146,0.981,0.982,0
"GZMA",0,-3.41423207106017,0.123,0.957,0
"GAPT",0,1.03960772768436,0.347,0.004,0
"IQGAP2",0,-1.44410765164493,0.103,0.553,0
"RPS23",0,1.20124358596841,0.987,0.984,0
"MEF2C",0,2.24500489171033,0.754,0.04,0
"SNX2",0,1.71162371918379,0.75,0.179,0
"CD74",0,3.82610374617198,1,0.837,0
"LCP2",0,-1.53264117445754,0.114,0.604,0
"DUSP1",0,1.45328619414392,0.942,0.693,0
"RACK1",0,0.840759849720827,0.978,0.965,0
"LY86",0,1.08146250233629,0.371,0.009,0
"PHACTR1",0,1.10612623413889,0.314,0.01,0
"CD83",0,3.38005061934285,0.855,0.094,0
"HLA-A",0,-1.29662399715284,0.979,0.996,0
"HLA-E",0,-0.755803750590049,0.968,0.99,0
"HLA-C",0,-1.17439046551637,0.983,0.997,0
"HLA-B",0,-0.772575515390528,0.991,0.997,0
"LTB",0,3.42216361397819,0.954,0.141,0
"HLA-DRA",0,4.34179825310001,0.997,0.368,0
"HLA-DRB5",0,2.79665292111395,0.812,0.241,0
"HLA-DRB1",0,2.42481620809899,0.986,0.532,0
"HLA-DQA1",0,2.93245239363624,0.965,0.269,0
"HLA-DQB1",0,2.64247567140638,0.877,0.106,0
"HLA-DQA2",0,1.15800376835865,0.307,0.018,0
"HLA-DOB",0,1.1871866219958,0.396,0.002,0
"HLA-DMB",0,1.69904708068979,0.641,0.061,0
"HLA-DMA",0,1.9822111778805,0.784,0.134,0
"HLA-DOA",0,0.902436653507861,0.274,0.003,0
"HLA-DPA1",0,2.25616760333204,0.983,0.595,0
"HLA-DPB1",0,2.34621199619878,0.986,0.64,0
"RPS18",0,0.943907034749013,0.985,0.984,0
"RPL10A",0,0.950741517662165,0.979,0.966,0
"FGD2",0,0.924046407071932,0.285,0.006,0
"CCND3",0,-1.25833580987817,0.427,0.771,0
"COL19A1",0,1.0405219739871,0.302,0,0
"EEF1A1",0,0.575395751738635,0.996,0.996,0
"BACH2",0,1.46157162824306,0.415,0.02,0
"CD24",0,1.54091383107914,0.463,0.001,0
"FYN",0,-1.59051122455866,0.182,0.689,0
"MARCKS",0,1.3401366955751,0.426,0.012,0
"SAMD3",0,-1.77029904380084,0.068,0.609,0
"RPS12",0,0.905032140968226,0.986,0.987,0
"PLEKHG1",0,1.01974900934861,0.304,0.003,0
"SYNE1",0,-1.49034786480625,0.198,0.644,0
"SYTL3",0,-1.5523435531561,0.065,0.532,0
"RNASET2",0,1.20726230149092,0.69,0.265,0
"TSPAN13",0,1.19038550062986,0.36,0.004,0
"CDCA7L",0,0.912864497407344,0.301,0.012,0
"AOAH",0,-1.76528206403652,0.052,0.587,0
"NCF1",0,2.24222838887185,0.77,0.049,0
"SYPL1",0,1.44468902053523,0.605,0.088,0
"TSPAN33",0,0.994997087301537,0.349,0.022,0
"TRBC1",0,-2.62032899979116,0.044,0.71,0
"GIMAP7",0,-2.1478636627384,0.095,0.74,0
"GIMAP4",0,-1.84944896908544,0.089,0.647,0
"BLK",0,1.27090255237782,0.411,0.001,0
"DOK2",0,-1.75226035669821,0.078,0.641,0
"ADAM28",0,1.39111749594415,0.466,0.031,0
"PLPP5",0,1.33534385365793,0.436,0.066,0
"MYBL1",0,-1.57542789850996,0.055,0.524,0
"RPL30",0,0.862040118817422,0.988,0.988,0
"LINC00861",0,-1.65519837098213,0.062,0.553,0
"RPL8",0,1.60232871003055,0.989,0.974,0
"RPS6",0,0.741397438577061,0.985,0.984,0
"PAX5",0,0.92961648031545,0.291,0,0
"ANXA1",0,-2.25450154349253,0.145,0.828,0
"RPL12",0,1.20690388539717,0.987,0.978,0
"RPL7A",0,0.595155579413272,0.982,0.984,0
"SNHG7",0,1.19609411128706,0.648,0.221,0
"CLIC3",0,-2.47750972951832,0.033,0.672,0
"ALOX5",0,1.164774720659,0.359,0.006,0
"SRGN",0,-2.52549440442406,0.514,0.979,0
"PRF1",0,-4.065954845179,0.075,0.958,0
"BLNK",0,1.25268597236601,0.41,0.002,0
"IFITM2",0,-2.26099188235531,0.656,0.965,0
"IFITM1",0,-2.99272662603188,0.328,0.957,0
"RPLP2",0,0.867870451525102,0.982,0.982,0
"CTSD",0,-1.81515439654597,0.174,0.739,0
"SWAP70",0,1.77893757390397,0.648,0.044,0
"RPS13",0,1.17188321976136,0.98,0.977,0
"CD82",0,1.42765000209014,0.47,0.021,0
"SPI1",0,0.960144070805861,0.33,0.013,0
"MS4A1",0,3.75472102450671,0.974,0.008,0
"FTH1",0,0.813482979290575,0.993,0.976,0
"EEF1G",0,0.948555986989489,0.956,0.843,0
"PLAAT4",0,-1.99095388898502,0.205,0.816,0
"FAU",0,0.786613894313081,0.986,0.982,0
"CFL1",0,-1.12285638150396,0.916,0.98,0
"CTSW",0,-3.13700283026463,0.089,0.918,0
"FCHSD2",0,1.15824367450357,0.476,0.094,0
"PRSS23",0,-1.52147493120021,0.026,0.469,0
"CTSC",0,-1.81202738101755,0.207,0.776,0
"BIRC3",0,1.78093522335981,0.704,0.154,0
"POU2AF1",0,1.20580930100614,0.398,0,0
"CXCR5",0,1.14079184381514,0.339,0.005,0
"RPS25",0,0.737712080825556,0.98,0.98,0
"KLRB1",0,-2.77881520669835,0.073,0.788,0
"KLRF1",0,-2.33485125750705,0.023,0.71,0
"KLRD1",0,-3.15137697567713,0.074,0.94,0
"KLRK1",0,-2.27858962458185,0.08,0.794,0
"PCED1B-AS1",0,-1.25089477774953,0.357,0.741,0
"BIN2",0,-1.68500266662927,0.28,0.805,0
"NR4A1",0,1.92447229431456,0.773,0.276,0
"CD63",0,-1.67369747802735,0.273,0.773,0
"RPS26",0,1.14416291169917,0.963,0.904,0
"MYL6",0,-0.90550933265925,0.882,0.96,0
"RAP1B",0,-1.50359352053737,0.514,0.876,0
"LINC02397",0,1.45505108304609,0.445,0.001,0
"C12orf75",0,-1.55754852893014,0.164,0.651,0
"SELPLG",0,-1.76255669203536,0.08,0.608,0
"HVCN1",0,1.91053598629905,0.665,0.052,0
"RPLP0",0,1.24118015295732,0.981,0.93,0
"LCP1",0,-1.23312802905762,0.704,0.927,0
"RUBCNL",0,1.27937338449099,0.387,0.003,0
"GPR183",0,1.55417144033764,0.485,0.053,0
"TRDC",0,-2.13598299712337,0.013,0.55,0
"GZMH",0,-2.73735320815567,0.09,0.784,0
"GZMB",0,-4.06820494373582,0.057,0.902,0
"GNG2",0,-1.46778863756589,0.3,0.747,0
"PTGDR",0,-1.44234468568667,0.033,0.462,0
"PRKCH",0,-1.65113155560075,0.062,0.59,0
"SYNE2",0,-1.50376563172119,0.239,0.682,0
"CALM1",0,-1.20616856336326,0.885,0.979,0
"TCL1A",0,2.32948617994544,0.455,0,0
"PLD4",0,0.939166968001113,0.272,0.005,0
"IGHD",0,1.36164784995861,0.329,0.001,0
"IGHM",0,2.72565214907519,0.623,0.006,0
"B2M",0,-1.19080072104537,0.996,0.999,0
"LINC00926",0,2.2328530774963,0.7,0.002,0
"RORA",0,-1.43085164828789,0.088,0.531,0
"RPLP1",0,0.856459490761764,0.992,0.991,0
"CTSH",0,1.14079533058707,0.431,0.041,0
"RPS2",0,0.956196404744587,0.991,0.988,0
"IL32",0,-3.03444265617968,0.165,0.693,0
"CIITA",0,1.09832632895567,0.371,0.021,0
"LITAF",0,-1.60784264829859,0.344,0.798,0
"RPS15A",0,0.655898643984317,0.981,0.984,0
"CD19",0,1.46505682220215,0.462,0,0
"SPN",0,-1.86642267654336,0.06,0.628,0
"HERPUD1",0,2.18007649235852,0.784,0.345,0
"ADGRG1",0,-2.00872362282331,0.039,0.626,0
"COTL1",0,1.39814764144289,0.663,0.152,0
"RPL13",0,1.01126579184125,0.992,0.991,0
"P2RX5",0,1.58337501662906,0.508,0.014,0
"PFN1",0,-1.48819717456202,0.959,0.991,0
"CCL5",0,-3.54609425944667,0.216,0.931,0
"CCL3",0,-2.5948340145321,0.132,0.559,0
"CCL4",0,-4.56216226413001,0.234,0.956,0
"CCL4L2",0,-3.74053609938553,0.124,0.693,0
"RPL19",0,0.896648158764811,0.986,0.987,0
"CCR7",0,1.42337933634167,0.413,0.011,0
"TBX21",0,-1.84323061093466,0.069,0.616,0
"SKAP1",0,-1.34653972071358,0.183,0.637,0
"CD79B",0,2.1186551342182,0.786,0.11,0
"CD300A",0,-1.48396301732706,0.043,0.494,0
"SLC9A3R1",0,-1.80078204392051,0.208,0.758,0
"SYNGR2",0,1.53417987442596,0.731,0.248,0
"ACTG1",0,-1.21684352908035,0.91,0.973,0
"CD7",0,-2.8215199585143,0.074,0.845,0
"METRNL",0,-1.74274260076712,0.102,0.576,0
"MYL12A",0,-1.36735483165895,0.85,0.97,0
"MYL12B",0,-1.09306755384508,0.66,0.892,0
"TCF4",0,1.29200493134979,0.429,0.028,0
"MBP",0,-1.25700443565798,0.359,0.747,0
"GZMM",0,-2.41416948743841,0.084,0.838,0
"RPS15",0,0.775508921260582,0.985,0.987,0
"ABHD17A",0,-1.92604677355186,0.309,0.852,0
"GNG7",0,1.14997806033515,0.385,0.003,0
"MATK",0,-1.76394865414387,0.086,0.657,0
"EEF2",0,0.96728787194019,0.953,0.858,0
"RPL36",0,0.821824217288681,0.973,0.961,0
"FCER2",0,1.86468236176387,0.482,0.001,0
"RPS28",0,0.805226040687433,0.989,0.984,0
"S1PR5",0,-1.77840364255875,0.033,0.574,0
"JUNB",0,1.61834261636268,0.963,0.802,0
"LYL1",0,1.06822198743335,0.369,0.011,0
"ADGRE5",0,-1.44388832746094,0.231,0.681,0
"NIBAN3",0,2.11642142720979,0.648,0.001,0
"RPL18A",0,1.453770391318,0.985,0.981,0
"IFI30",0,1.25078744561937,0.499,0.1,0
"CD22",0,1.3415558657948,0.42,0.001,0
"HCST",0,-2.73149911275149,0.238,0.946,0
"TYROBP",0,-3.1654066480154,0.193,0.952,0
"RPS16",0,0.756089417903856,0.98,0.968,0
"RPS19",0,0.657163761669102,0.988,0.99,0
"CD79A",0,4.09395477644026,0.97,0.009,0
"POU2F2",0,1.24620081812002,0.502,0.081,0
"FOSB",0,1.3721344481434,0.725,0.3,0
"RPL18",0,1.07227135639973,0.982,0.981,0
"CD37",0,1.995694685547,0.987,0.8,0
"RPL13A",0,0.793485384496376,0.981,0.976,0
"SPIB",0,1.66433488657631,0.516,0.002,0
"NKG7",0,-4.47971138598078,0.165,0.993,0
"RPS9",0,1.03322796147803,0.985,0.965,0
"LAIR2",0,-1.95036151125342,0.035,0.554,0
"RPL28",0,0.824462223320457,0.991,0.99,0
"RPS5",0,1.44280496833792,0.977,0.956,0
"CST7",0,-3.68716428131035,0.122,0.978,0
"APMAP",0,-1.83554436486978,0.127,0.724,0
"PKIG",0,0.98555273941059,0.324,0.002,0
"CD40",0,1.33212198823236,0.481,0.021,0
"CTSZ",0,1.16254527448333,0.575,0.161,0
"RPS21",0,0.826309351750409,0.982,0.971,0
"IFNGR2",0,1.12604174898241,0.39,0.004,0
"ITGB2",0,-2.21204715897347,0.425,0.922,0
"VPREB3",0,2.16501528753834,0.643,0,0
"CHCHD10",0,1.15585310649697,0.587,0.181,0
"TPST2",0,-1.52355786276351,0.123,0.606,0
"XBP1",0,-1.64372235328091,0.222,0.71,0
"NCF4",0,0.89364075942736,0.298,0.009,0
"IL2RB",0,-2.01207917117843,0.051,0.647,0
"APOBEC3G",0,-1.56572438874464,0.229,0.689,0
"TNFRSF13C",0,1.53369729736766,0.497,0.002,0
"TTC38",0,-1.55076419449082,0.035,0.523,0
"CD99",0,-1.59608593680415,0.487,0.885,0
"TMSB4X",0,-0.888890908027696,0.987,0.995,0
"CYBB",0,1.47904756691788,0.508,0.017,0
"IL2RG",0,-1.17704914593965,0.689,0.909,0
"RPS4X",0,0.94433274712698,0.985,0.981,0
