"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS4Y1",4.07413805672178e-292,-2.39132526867196,0.024,0.849,1.08482074036331e-287
"DDX3Y",1.57150189004746e-175,-1.10668512868393,0.006,0.421,4.18443808262937e-171
"EIF1AY",3.00346653093796e-138,-1.05401680655379,0.008,0.373,7.99733033192849e-134
"UTY",7.87123036305945e-119,-0.821527383507029,0.005,0.294,2.09587250877184e-114
"KDM5D",4.72520200187034e-100,-0.567533973121129,0.002,0.222,1.25817953703802e-95
"USP9Y",4.79200919776361e-64,-0.506901851734661,0.005,0.183,1.27596828908852e-59
"RPS26",3.15976390976961e-51,1.87996712096461,0.974,0.746,8.41350336254353e-47
"HLA-DRB5",1.29028483854172e-20,1.33114250357303,0.815,0.762,3.43564143958503e-16
"RPS4X",6.50414899328952e-19,0.478570670495977,0.987,0.952,1.7318597524432e-14
"FP236383.4",5.33549278129104e-18,-0.455351289886543,0.013,0.119,1.42068166287436e-13
"RPS29",8.3042432630359e-18,-0.710927968329488,0.951,0.952,2.21117085364857e-13
"MALAT1",1.31453708692278e-17,-0.652536307340428,1,1,3.50021790134928e-13
"LMNA",9.08264452683774e-16,-1.66942075515671,0.079,0.278,2.41843575816109e-11
"RPS27",4.61703985361553e-15,-0.403211757723369,0.986,0.952,1.22937920182221e-10
"XIST",5.43781067118949e-15,1.20226083367726,0.344,0,1.44792584741763e-10
"RPL41",4.4711441207772e-14,-0.678072747600589,0.967,0.952,1.19053154503935e-09
"RPL8",1.64024787271978e-13,0.382335714280264,0.99,0.96,4.36748801069096e-09
"RPL18A",6.09115883532033e-13,0.427405899333661,0.987,0.944,1.62189286308074e-08
"DUSP1",1.14340649942851e-12,0.665165631241944,0.945,0.873,3.04454848602828e-08
"MTRNR2L12",2.23188573515864e-12,-0.518384533057944,0.022,0.127,5.9428421470069e-08
"ERAP2",7.43313828379484e-12,-0.623112332369134,0.108,0.302,1.97922173082605e-07
"RPL37",1.14102191559843e-11,-0.326116909446341,0.983,0.952,3.03819905466394e-07
"RPL29",1.33961345281151e-11,0.380705999278383,0.981,0.944,3.56698874080122e-07
"GTF2IRD2",2.11007774993237e-11,-0.3401797711101,0.016,0.103,5.61850402474491e-07
"H3F3B",1.17671052531428e-10,0.437857698688297,0.964,0.937,3.13322711575434e-06
"RPL38",1.18374422292464e-10,-0.423260727669387,0.946,0.937,3.15195574238144e-06
"FTH1",1.199962650532e-10,0.231753680194482,0.994,0.968,3.19514054957156e-06
"COCH",3.85637367978001e-10,-0.50344552568094,0.051,0.183,1.02683661971502e-05
"CCZ1",5.37093518062709e-10,-0.225462082473812,0.033,0.143,1.43011891054558e-05
"CD79B",5.57338304555533e-10,0.603040663255273,0.798,0.556,1.48402470354002e-05
"RPL28",1.13379981875718e-09,0.283878100732498,0.993,0.944,3.01896877740475e-05
"TEX9",1.16062977210064e-09,-0.478011462169288,0.064,0.206,3.09040889417238e-05
"RPS3A",3.21076508070151e-09,-0.283168444819405,0.98,0.952,8.5493041803839e-05
"RPL7A",3.25637376493278e-09,0.303109147261652,0.984,0.944,8.6707464238865e-05
"RPS19",3.32394312500309e-09,0.342036829859081,0.988,0.984,8.85066335894574e-05
"MT-ND6",3.38984915447333e-09,-0.990473619217747,0.483,0.659,9.02615134361614e-05
"RPL10",4.42865027009357e-09,0.281886979991532,0.994,0.968,0.000117921670741781
"RPL37A",5.13123070258514e-09,-0.392149713331245,0.962,0.952,0.000136629279917735
"RPL18",5.94646944736283e-09,0.292970075277213,0.983,0.952,0.00015833664197493
"ITGB1",7.33596640629278e-09,-0.775013872799772,0.269,0.5,0.000195334777500358
"CCDC141",2.03973464204752e-08,-0.387336758371173,0.061,0.19,0.000543120143137993
"RPS21",2.3995431915646e-08,-0.249739799755598,0.983,0.96,0.000638926365617905
"RPL12",2.46420298766448e-08,0.29353238696781,0.988,0.96,0.00065614332952542
"IGHM",3.33330625159457e-08,0.265857082543594,0.638,0.333,0.000887559455612087
"KLF2",4.52956650804645e-08,0.53038454583427,0.863,0.698,0.00120608767409753
"EBF1",5.1858445643234e-08,-0.424555014101554,0.17,0.373,0.00138083483214239
"HLA-DRB1",5.41685602314773e-08,-0.46371696123996,0.988,0.952,0.00144234625328355
"AHNAK",9.38580930509443e-08,-0.732924463213328,0.556,0.722,0.00249915944366749
"MAPKAPK2",9.549836497823e-08,-0.468904766884082,0.139,0.31,0.00254283496427533
"CDK11A",9.74569350291102e-08,-0.378612308069868,0.177,0.373,0.00259498580902012
"RPS9",1.01564584285844e-07,0.271073187500706,0.987,0.96,0.00270436018577917
"HLA-C",2.47143331169882e-07,0.428356108595194,0.984,0.952,0.00658068547906044
"CST3",2.96447962480552e-07,0.803336504875177,0.286,0.087,0.00789351989696966
"MSI2",3.56799076705171e-07,-0.267100823648306,0.076,0.206,0.00950048901542858
"NEK6",3.6992612670276e-07,-0.44706592684858,0.118,0.27,0.0098500229757144
"TCL1A",3.78656045981695e-07,0.768770103443258,0.467,0.222,0.0100824745363546
"NCF1",5.5415790804258e-07,0.527122940486879,0.775,0.675,0.0147555626174498
"MT-CO1",5.76009441088353e-07,-0.280493130365437,1,1,0.0153374033878596
"LTB",5.97839333655521e-07,0.416095462218252,0.958,0.873,0.0159186679372455
"FTL",7.07934507473733e-07,0.306470393282105,0.99,0.944,0.0188501721305031
"BTG2",8.39406377769869e-07,0.506665500482534,0.861,0.794,0.0223508736208783
"SAMSN1",8.54011980607719e-07,-0.894931392860338,0.211,0.373,0.0227397770076417
"RPLP1",9.5242195667351e-07,-0.244382278991427,0.993,0.96,0.0253601394403456
"UCP2",1.03081836764392e-06,0.524108087408652,0.656,0.476,0.0274476006752547
"HLA-DQA2",1.03391674284343e-06,0.824596076326986,0.317,0.119,0.027530101111692
"TOMM7",1.08266220566013e-06,-0.404540434112027,0.869,0.929,0.0288280465501123
"RPS10",1.18684309687037e-06,-1.13940590484899,0.31,0.5,0.0316020711403673
"RPS2",1.2458592311249e-06,0.270791843675734,0.993,0.96,0.0331734937471627
"APOLD1",1.3459229667661e-06,-0.260218882680304,0.049,0.151,0.035837890836081
"SNHG7",1.55904047532427e-06,0.5254782967466,0.657,0.46,0.0415125707364594
"TPT1",1.5986956402042e-06,-0.256149760091827,0.993,0.968,0.0425684688117173
"JUNB",2.13688291931458e-06,0.450362153865236,0.965,0.937,0.0568987814925892
"HIVEP1",2.15333576984799e-06,-0.41728193610997,0.084,0.206,0.0573368715437424
"SCPEP1",2.33932088692775e-06,-0.320229887923112,0.161,0.333,0.0622890972562253
"HSPA1A",2.45784767754222e-06,0.391304729479122,0.536,0.31,0.0654451101099167
"NSF",2.46946653954118e-06,-0.579784162224779,0.212,0.397,0.065754485548363
"PTPRCAP",2.76089760948698e-06,0.53550784696767,0.757,0.635,0.0735144206478099
"UBB",2.95937243986796e-06,0.380400276912258,0.894,0.841,0.0787992099563641
"LBH",3.03693930252907e-06,0.515789261115374,0.651,0.492,0.0808645828084417
"THEMIS2",3.14509090967286e-06,-0.235854023819298,0.068,0.183,0.0837443356518593
"USP34",3.25664931763141e-06,-0.467910951511001,0.231,0.421,0.0867148013805715
"RPS28",3.96229688386615e-06,-0.181942829268982,0.99,0.96,0.105504079126704
"R3HDM2",4.04896106380315e-06,-0.327579602938438,0.103,0.238,0.107811686245886
"VPS13B",4.30427779344843e-06,-0.277730632656288,0.109,0.246,0.114610004806151
"FAU",4.44122971917104e-06,0.227668228633702,0.988,0.944,0.118256623732367
"PPDPF",4.55595521549908e-06,0.467010573867368,0.645,0.5,0.121311419523094
"HVCN1",4.79388703503726e-06,0.58060392547175,0.672,0.532,0.127646830081937
"GALNT7",5.26610767681481e-06,-0.277383012628157,0.045,0.135,0.140220649110548
"FOS",5.33446412550544e-06,0.37531605992292,0.848,0.698,0.142040776269833
"VPREB3",5.66898480046605e-06,0.537402310888102,0.651,0.484,0.150948058282009
"GYPC",5.70141712578368e-06,0.572578362715653,0.413,0.238,0.151811633808242
"AC027290.1",6.60696741522421e-06,-0.294211672036019,0.046,0.135,0.175923721365175
"UBE2Q1",7.45334046442691e-06,-0.237524433236788,0.054,0.151,0.198460096546295
"LYZ",7.80402122218475e-06,0.572114162618445,0.235,0.063,0.207797673083113
"LIMD2",8.66460790774613e-06,0.419725738190847,0.87,0.802,0.230712514759556
"CRIP1",1.18773074099916e-05,-1.054934583575,0.635,0.786,0.316257064405846
"HSPE1",1.21424471492782e-05,0.487195462732484,0.637,0.5,0.323316940243831
"IL32",1.64144941662819e-05,1.0317263730189,0.172,0.024,0.437068736165589
"RPS5",2.20271145703513e-05,0.248406402108238,0.978,0.952,0.586515979664743
"CD79A",2.2462864774725e-05,0.334416138121844,0.971,0.944,0.598118700356604
"MT-CO3",2.2745057347494e-05,0.405028674520407,0.998,1,0.605632641991723
"RPL36",2.31806034723159e-05,-0.181821202775232,0.974,0.952,0.617229928657357
"ERP29",2.39040491434972e-05,0.413715908404177,0.735,0.579,0.636493116543901
"TYROBP",2.47998056457742e-05,0.593565483080899,0.2,0.048,0.660344424930029
"HLA-B",3.1472271000598e-05,0.304874444440442,0.992,0.976,0.838012159932923
"RPL39",3.33815997428096e-05,-0.162262448894548,0.984,0.952,0.888851856351792
"GALNT1",3.51822513419256e-05,-0.25188911847155,0.059,0.151,0.936797806481452
"CYSTM1",3.81719731275844e-05,-0.238050323743477,0.037,0.111,1
"DENND4A",4.14053407601725e-05,-0.860475524028073,0.207,0.341,1
"ALOX5AP",4.19869398536334e-05,0.555485670907199,0.437,0.278,1
"TMSB10",4.32066332927047e-05,0.214465143106441,0.988,0.952,1
"JADE3",4.33205515614133e-05,-0.170155213512027,0.036,0.111,1
"MRPL42",4.61150221057571e-05,-0.328191573138035,0.16,0.302,1
"UFD1",5.09080292406008e-05,-0.294776038277768,0.131,0.262,1
"ZFP36L2",5.25062110450881e-05,0.480491810000337,0.893,0.81,1
"SART3",5.37663895741272e-05,-0.175053003699866,0.101,0.222,1
"HERPUD1",5.43660244007378e-05,0.478325730627799,0.789,0.683,1
"STIM2",5.49177018711344e-05,-0.403391235052409,0.197,0.349,1
"GOLGA8B",6.13418017970006e-05,-0.364401628537876,0.195,0.357,1
"TSPAN13",6.19358775701359e-05,0.634096534175537,0.367,0.222,1
"HSP90AA1",6.32301547969896e-05,0.354491931943859,0.917,0.889,1
"RFX3",6.4783705126671e-05,-0.284831243726338,0.08,0.183,1
"CSTF1",6.54926521407493e-05,-0.334328897152147,0.042,0.119,1
"FTX",6.84944026340579e-05,-0.441795489351187,0.125,0.246,1
"C1orf162",6.9808173794472e-05,0.507276188719388,0.345,0.183,1
"LY9",7.11960587376797e-05,-1.16886156433061,0.407,0.563,1
