"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NPPA",2.4952722124072e-212,1.72165449730053,0.995,0.88,6.64416131997666e-208
"MYL7",2.35976040481222e-118,0.928677824917964,0.982,0.76,6.2833340298935e-114
"ACTC1",1.37478764902129e-106,1.08402778819222,0.92,0.645,3.66064707304898e-102
"XIST",2.1389042165556e-97,3.49287204711308,0.467,0.009,5.69526025742259e-93
"PAX8-AS1",4.45590595631501e-95,-0.95853765418858,0.013,0.178,1.186474078988e-90
"FOS",8.75194007945705e-89,-1.60285057230448,0.043,0.267,2.33037908495703e-84
"MB",5.08585177339221e-86,1.1233661952531,0.795,0.473,1.35420975170114e-81
"RPLP1",3.59062918163804e-65,1.19677604676485,0.684,0.371,9.5607683219476e-61
"NPPB",1.19449415233222e-63,1.28025862706353,0.696,0.396,3.18057957941501e-59
"TCAP",8.60953985657628e-61,0.95207280309143,0.774,0.543,2.29246217761057e-56
"EGR1",5.88684163211929e-58,-1.36816367905638,0.024,0.162,1.5674893213844e-53
"MT-CO1",2.30887446452261e-57,0.594710074242291,0.998,0.983,6.14784003668436e-53
"LINC01116",9.6421776644603e-56,-0.615576592416752,0.023,0.159,2.56742264671584e-51
"TPM1",4.07005948871614e-50,0.503793806882262,0.94,0.836,1.08373474006045e-45
"UQCRB",1.46147213878935e-49,0.913387793898562,0.614,0.342,3.8914618639544e-45
"TTTY14",1.20259845131821e-48,-0.666699394294197,0.067,0.256,3.202158896325e-44
"KDM5D",1.47677864531183e-47,-0.71133862560507,0.045,0.202,3.9322184988718e-43
"COX7A1",2.78375639744418e-47,1.06242482806048,0.554,0.26,7.41230815947462e-43
"TNNI3",3.03759117360469e-47,0.848182508765789,0.804,0.662,8.0881940179572e-43
"NDUFA4",4.69413719616641e-47,1.28461972675659,0.582,0.315,1.24990791122323e-42
"COX6A2",9.12132828416754e-46,1.09870936735865,0.607,0.356,2.42873608222529e-41
"MYL4",1.64697089772523e-45,1.09019080480287,0.625,0.394,4.38538940937298e-41
"LINC00685",1.19142427382852e-44,-0.467684873001443,0.016,0.118,3.17240541392321e-40
"MT-CO2",5.83587471825999e-44,0.599535596202053,0.974,0.937,1.55391836123109e-39
"NEAT1",5.85242315745898e-44,-0.765427170620367,0.874,0.913,1.5583247141366e-39
"TNNC1",1.21997802266185e-43,1.04906024114255,0.587,0.323,3.24843548094171e-39
"LUC7L3",2.10210377353171e-43,-0.88462209676324,0.409,0.691,5.59727171778288e-39
