"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"XIST",1.64881757017031e-57,1.76586572012297,0.522,0,4.3903065440925e-53
"DDX3Y",2.65676038608227e-55,-1.0795531515159,0.039,0.383,7.07415588002126e-51
"RPS26",3.86548717131828e-51,1.29130949134069,0.904,0.715,1.02926326910692e-46
"RPS19",4.54810206269439e-37,0.968163102477152,0.924,0.752,1.21102313623364e-32
"RPS4Y1",1.04272030410791e-36,-0.583686989851196,0.156,0.552,2.77645135374812e-32
"RPL13",4.31744716568411e-36,0.833665505452245,0.964,0.847,1.14960665680671e-31
"RPS4X",1.82766751440469e-35,0.860897981449948,0.946,0.794,4.86653029060537e-31
"RPL18A",4.65509070441458e-35,0.874502321817814,0.943,0.785,1.23951100186447e-30
"RPL28",2.3247367994518e-33,0.78208869697676,0.971,0.862,6.19007667590031e-29
"RPS18",3.44565228207595e-33,0.894159618827764,0.953,0.773,9.17473833148363e-29
"EIF1AY",4.7233003842145e-30,-0.471046108292024,0.039,0.261,1.25767319330479e-25
"RPS11",1.95278724113451e-28,0.996888526414688,0.886,0.693,5.19968658696885e-24
"RPS16",8.71317916192863e-28,0.854413296966672,0.874,0.681,2.32005821544674e-23
"RPL29",2.45894791755369e-27,0.695599744068865,0.946,0.81,6.54744062007022e-23
"RPS2",2.65379646826672e-27,0.841986934965937,0.926,0.791,7.0662638560538e-23
"MT-CO2",3.05190549404314e-26,0.770351998792521,0.977,0.948,8.12630875898867e-22
"RPL13A",8.90610442605487e-25,0.764855777104777,0.914,0.764,2.37142842552563e-20
"RPS23",2.88058784005028e-24,0.718619157698154,0.962,0.822,7.67014124170189e-20
"HSPA1A",4.14342185073174e-24,1.47433494980157,0.735,0.515,1.10326893619434e-19
"RPLP2",6.85428946067692e-24,0.666600337574622,0.954,0.807,1.82509165469444e-19
"HLA-DRA",4.55244149672366e-23,1.67836314187882,0.619,0.27,1.21217859733261e-18
"RPS14",5.77978169472723e-23,0.611988837281494,0.968,0.816,1.53898247185502e-18
"RPL26",6.14760269565773e-23,0.753363161146852,0.936,0.794,1.63692216977278e-18
"RPL7A",2.2475813462141e-22,0.586586110538019,0.954,0.798,5.98463485056429e-18
"RPS9",1.20382732927176e-21,0.728320842943714,0.879,0.742,3.20543102965191e-17
"RPS15",2.38549020106209e-21,0.556086661396911,0.956,0.825,6.35184475836803e-17
"RPL18",5.05693708049357e-21,0.566429247409404,0.952,0.813,1.34651063642302e-16
"MT-CO3",6.90882772359159e-21,0.690241341325128,0.954,0.923,1.83961355796073e-16
"RPL15",9.34284363696424e-21,0.696359263662524,0.892,0.745,2.48771897521447e-16
"RPL8",3.09373887735176e-20,0.564702928779353,0.952,0.807,8.23769850872454e-16
"RPS24",3.26247760803087e-20,0.605424703334158,0.965,0.847,8.68699912690379e-16
"LTC4S",3.66992740937738e-20,1.06181599927907,0.43,0.135,9.77191571294914e-16
"LYZ",7.74287951613904e-20,1.12394999722248,0.449,0.147,2.06169652876234e-15
"HLA-DQA2",9.6929676148498e-20,0.718130753216687,0.304,0.052,2.58094648680606e-15
"RPL24",2.13891594415159e-19,0.522352700904218,0.936,0.77,5.69529148449244e-15
"RPL27A",2.16161493330459e-19,0.852604238604185,0.825,0.647,5.75573208291013e-15
"PFDN5",2.97222626865832e-19,0.584859667814023,0.875,0.696,7.9141468855565e-15
"KDM5D",4.33093504234588e-19,-0.276168198779204,0.031,0.181,1.15319807372544e-14
"SNHG5",5.35308172477977e-19,0.695148479076012,0.576,0.319,1.42536507085711e-14
"RPS3A",5.55945413643809e-19,0.724539089631634,0.934,0.801,1.48031585290937e-14
"RPS3",8.22475791814403e-19,0.582984037038123,0.953,0.819,2.19000629086421e-14
"RPS15A",1.44139132436371e-18,0.522136801131757,0.955,0.847,3.83799267938325e-14
"RPL10A",2.17664719926974e-18,0.745157311478736,0.84,0.678,5.79575849749554e-14
"RPS8",3.5675643392251e-18,0.541398345199011,0.958,0.825,9.49935356605468e-14
"HLA-DPB1",4.36120519989454e-18,1.70822709988487,0.54,0.248,1.16125810857592e-13
"RACK1",6.24976901270169e-18,0.610817083217993,0.924,0.745,1.66412599501208e-13
"NACA",1.14204850350659e-17,0.579419349602886,0.932,0.764,3.04093255028699e-13
"RPS12",1.37008996867275e-17,0.537450377230281,0.977,0.84,3.64813855958493e-13
"FOS",2.68737379780205e-17,0.637979949212792,0.934,0.798,7.15567021140753e-13
"RPL30",2.89367052428096e-17,0.531772832411823,0.971,0.853,7.70497650500291e-13
"RPL7",6.08927984041396e-17,0.590294974777131,0.871,0.681,1.62139254310703e-12
"RPL19",6.30214688710321e-17,0.524298040147782,0.956,0.828,1.67807265162897e-12
"RPL10",8.59487470134191e-17,0.462222216833751,0.983,0.893,2.28855728672631e-12
"RPL21",1.10089011194679e-16,0.677124168352792,0.895,0.779,2.93134010108071e-12
"RPL35",1.27365591326563e-16,0.58532370688404,0.877,0.724,3.3913636002524e-12
"RPL36A",2.88777701782255e-16,0.622796008915362,0.873,0.73,7.68928386535611e-12
"RGS10",3.25311003997454e-16,0.671144143042057,0.492,0.252,8.66205610344021e-12
"RPSA",4.55592691623122e-16,0.59060262678132,0.857,0.712,1.21310665998489e-11
"RPS7",5.55973210079382e-16,0.512107327049049,0.946,0.807,1.48038986647837e-11
"SRP14",6.88462434043092e-16,0.548925440481342,0.838,0.66,1.83316892312654e-11
"HSP90AA1",7.1089473497304e-16,1.44717784995361,0.857,0.742,1.89289941081271e-11
"SH3BGRL3",1.16224622355106e-15,0.705823060242504,0.907,0.733,3.09471301944942e-11
"IGKV3D-15",2.11439108211572e-15,-3.22819581193682,0.012,0.11,5.62998913434954e-11
"RPL23",2.14952672190594e-15,0.826402422073833,0.833,0.653,5.72354480241895e-11
"COX6B1",2.33251541727558e-15,0.53213936964917,0.767,0.592,6.21078880157968e-11
"RPL32",2.67731844388692e-15,0.502659481251201,0.968,0.862,7.1288958205377e-11
"UBA52",2.78775282403848e-15,0.548331179281227,0.879,0.752,7.42294944456725e-11
"RPL17",4.69321156581352e-15,0.557686381127554,0.896,0.779,1.24966144362917e-10
"HCST",5.16813251047275e-15,0.61205398534415,0.485,0.236,1.37611864356358e-10
"RPL3",6.87361529080428e-15,0.499436026506269,0.901,0.745,1.83023754348245e-10
"RPS27A",8.81334133292716e-15,0.484990276400801,0.974,0.887,2.34672839671852e-10
"USP9Y",1.10024212121872e-14,-0.422276209296949,0.031,0.153,2.92961469616908e-10
"RPL31",1.3003245844433e-14,0.624517140047728,0.863,0.712,3.46237427099718e-10
"RPL11",1.42885563126494e-14,0.474832579655998,0.969,0.859,3.80461388936915e-10
"PTMA",1.4555648148424e-14,0.630199080702132,0.987,0.914,3.87573243248087e-10
"RPL37A",1.92448522721143e-14,0.653387049452336,0.897,0.745,5.12432681449588e-10
"FAU",2.07475743779404e-14,0.470763664533829,0.965,0.853,5.52445662961418e-10
"RPS13",2.56583193654166e-14,0.465416771232248,0.931,0.807,6.83204069742948e-10
"RPS5",3.35582727668484e-14,0.545500646600209,0.856,0.724,8.93556128962872e-10
"IER2",3.42440502485306e-14,0.817524174543624,0.846,0.715,9.11816325967625e-10
"RPL9",3.58157977596235e-14,0.537117150174241,0.9,0.752,9.53667246945496e-10
"AIF1",4.28918244439649e-14,0.859882369669292,0.373,0.144,1.14208060946945e-09
"CLC",9.06816295120366e-14,-1.84395092111099,0.041,0.169,2.414579749017e-09
"CST3",9.92360495676704e-14,0.957732332711154,0.685,0.42,2.64235829183836e-09
"RPL22",1.15643392320427e-13,0.424969253700399,0.913,0.782,3.07923660731602e-09
"TYROBP",1.29658324297953e-13,0.67628480393191,0.665,0.396,3.4524122010816e-09
"ATP6V1F",1.41778053151352e-13,0.648803699621978,0.578,0.377,3.77512422126105e-09
"RPL27",1.48032256274901e-13,0.541906179757359,0.821,0.675,3.94165488783179e-09
"RPS20",2.26209228731036e-13,0.602206821369884,0.819,0.65,6.0232731334213e-09
"CD37",2.42249878618588e-13,0.786996858340076,0.734,0.567,6.45038751797715e-09
